상호명,위도(lat),경도(lon),소재지,count
오케이상사,37.5043641148563,127.003620888061,서울 서초구 반포동 19-3번지 센트럴시티내100호매점,40
버스표가판점,37.3897444934598,126.951495618409,경기 안양시 동안구 동안로 125-2 범계역4-1출구앞 버스표가판점,40
대산슈퍼,36.7699366210473,127.250220402203,충남 천안시 동남구 복구정3길 1,40
천하명당복권방,34.8917029847155,128.694852511716,경남 거제시 옥포성안로 60,40
경성식품,37.5903959972497,127.059877891806,서울 동대문구 망우로21길 52,40
제일슈퍼,37.4086563679205,126.67082587945,인천 연수구 앵고개로 242 제일상가112호,40
주택복권방,37.3238820289351,127.097479916042,경기 용인시 수지구 풍덕천로 144-1 103호,39
풍전슈퍼,37.4970897523205,126.79116652651,경기 부천시 조마루로 428,39
청룡마트,36.7977940545113,127.154463600038,충남 천안시 동남구 풍세로 1010-31 현대아파트상가B-102호,39
교통카드충전소,37.6345200961672,126.832227144303,경기 고양시 덕양구 화정로 58 화정역 2번출구,39
노다지복권방,37.4481115959699,126.792011443336,경기 시흥시 복지로 103-1 1층상가,38
한꿈복권방,35.5687727562348,129.345871744291,울산 중구 번영로 586,38
복권나라,36.7839561792603,127.580914940543,충북 증평군 중앙로 199-1,38
복권명당,36.4718573097719,127.133096848142,충남 공주시 번영1로 41,38
명당골복권방,37.2510979892754,127.035486437565,경기 수원시 권선구 동수원로242번길 15 104호,38
대성기획,37.2949073386736,127.117903169762,경기 용인시 기흥구 구성로 75-1,38
서재강변로또,35.8786604420863,128.496966192201,대구 달성군 서재로 172,37
종합복권방,34.5708118929938,126.610855130658,전남 해남군 해남로 34,37
왕대박복권방,36.5881011716474,128.192949198212,경북 문경시 중앙로 15,37
운수대통복권방,36.8004888704508,127.149280302734,충남 천안시 동남구 대흥로 122 중앙시장 입구,37
행운복권방 보생당건강원,35.9603454488036,126.997229871301,전북 익산시 무왕로 1268,36
북문복권방,37.2902970908823,127.012826577136,경기 수원시 장안구 정조로 927-1,36
데스콤㈜영등포영업소,37.5205930082848,126.905166068954,서울 영등포구 영중로 48,36
자양사거리가로매점,37.5362251419146,127.083201674013,서울 광진구 자양로 95,36
우일,37.4999523210187,127.143980825023,서울 송파구 마천로 235,36
오창중앙복권,36.7150765562734,127.428954460961,충북 청주시 청원구 중심상업로 47 103호,36
대원슈퍼마켓,35.1524683974026,129.111990179,부산 수영구 수영로 524,36
대박복권방,37.8225013851536,126.98673375291,경기 양주시 가래비길 33,35
장미슈퍼,36.276372384131,126.909418515443,충남 부여군 계백로 265 부여군청 로터리 부근,35
패밀리복권방,37.654082753503,127.2433325019,경기 남양주시 늘을1로16번길 29 늘봄타워 107호,35
열두보석복권방,37.2811344297076,127.11177588506,경기 용인시 기흥구 구갈로 74 구갈스포츠센터106호,34
세원로또복권방,35.1683250826956,129.116025416752,부산 수영구 수영로725번길 53 101호,34
가로판매소,37.5078567262654,126.891886432046,서울 구로구 새말로 117-24 (신도림역2번출구)(구로동),34
갈렙분식한식,37.5982177560005,127.095273890863,서울 중랑구 용마산로115길 92,33
407억당첨가판점,37.8792280828199,127.726688521838,강원 춘천시 중앙로 65 국민은행앞 가판,33
해피+24시편의점,35.2044670894087,126.873870491169,광주 북구 하서로 330,33
베스토아(용전2호),36.3503349793975,127.436711042049,대전 동구 동서대로 1689 복합터미널서관1층59호,33
25시슈퍼,37.3624626201338,126.729984027881,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호,33
대광복권방,35.0554316829248,126.977740365431,전남 화순군 칠충로 55 대광그린상가동 1층109호,33
마두역상행선 가판대,37.6522471775805,126.777088967094,경기 고양시 일산동구 중앙로 1181 마두역 중앙 횡단보도 오른쪽,32
복권방,35.0809861740721,128.968187259195,부산 사하구 장림번영로 25,32
동홍코사마트,33.2586554834926,126.569667425575,제주 서귀포시 동홍서로 108,32
소리창고,37.5528876532177,126.836744922471,서울 강서구 강서로 306,32
로또명당,37.451463696187,126.683703151137,인천 미추홀구 인주대로 423 101호,31
여기있었네복권방,35.7993908406512,126.884570792917,전북 김제시 남북로 171,31
동아전업사,35.8528969208079,127.105808254455,전북 전주시 덕진구 기린대로 691-2,31
이마트24 순천산단점,34.9879916741436,127.508181549692,전남 순천시 산단1길 6,31
로또복권판매도통점,35.4178393328696,127.397209580595,전북 남원시 용성로 232,31
천하명당,37.438902489816,126.783317487539,경기 시흥시 신천3길 26-1 1층1호,31
복권나라,34.7399319441762,127.73434301317,전남 여수시 중앙로 62 1층,31
초월대박복권방,37.3867047040596,127.288233251617,경기 광주시 경충대로 1252,31
